,from_aggr_zone,to_aggr_zone,product_group,year,amount_tons
192,(L)Ofoten og Vesterålen,Hordaland,Neo bulk,2018,2545.1829285204635
193,(L)Ofoten og Vesterålen,Hordaland,Neo bulk,2020,2549.1885014923523
194,(L)Ofoten og Vesterålen,Hordaland,Neo bulk,2025,2938.589260053142
195,(L)Ofoten og Vesterålen,Hordaland,Neo bulk,2030,3387.6567559878195
196,(L)Ofoten og Vesterålen,Hordaland,Neo bulk,2040,3676.8729545548676
197,(L)Ofoten og Vesterålen,Hordaland,Neo bulk,2050,4196.849611108574
198,(L)Ofoten og Vesterålen,Innlandet,Break bulk (fast),2018,125.43271586674388
199,(L)Ofoten og Vesterålen,Innlandet,Break bulk (fast),2020,118.04753566980273
200,(L)Ofoten og Vesterålen,Innlandet,Break bulk (fast),2025,134.74659512174415
201,(L)Ofoten og Vesterålen,Innlandet,Break bulk (fast),2030,153.9051455761698
202,(L)Ofoten og Vesterålen,Innlandet,Break bulk (fast),2040,179.59005919433827
203,(L)Ofoten og Vesterålen,Innlandet,Break bulk (fast),2050,203.1722386720214
204,(L)Ofoten og Vesterålen,Innlandet,Break bulk (slow),2018,1267.8626950021628
205,(L)Ofoten og Vesterålen,Innlandet,Break bulk (slow),2020,1208.4276940512655
206,(L)Ofoten og Vesterålen,Innlandet,Break bulk (slow),2025,1452.6488718253004
207,(L)Ofoten og Vesterålen,Innlandet,Break bulk (slow),2030,1746.3525854391028
208,(L)Ofoten og Vesterålen,Innlandet,Break bulk (slow),2040,1707.6875210822473
209,(L)Ofoten og Vesterålen,Innlandet,Break bulk (slow),2050,1885.7289707533075
210,(L)Ofoten og Vesterålen,Innlandet,Container (fast),2018,119.10617178571324
211,(L)Ofoten og Vesterålen,Innlandet,Container (fast),2020,114.07189148573958
212,(L)Ofoten og Vesterålen,Innlandet,Container (fast),2025,134.1597156640452
213,(L)Ofoten og Vesterålen,Innlandet,Container (fast),2030,157.9071279379954
214,(L)Ofoten og Vesterålen,Innlandet,Container (fast),2040,197.88248246954274
215,(L)Ofoten og Vesterålen,Innlandet,Container (fast),2050,231.80247361890775
216,(L)Ofoten og Vesterålen,Innlandet,Container (slow),2018,5194.059986478781
217,(L)Ofoten og Vesterålen,Innlandet,Container (slow),2020,4838.322150274781
218,(L)Ofoten og Vesterålen,Innlandet,Container (slow),2025,5664.095605049887
219,(L)Ofoten og Vesterålen,Innlandet,Container (slow),2030,6633.670771469261
220,(L)Ofoten og Vesterålen,Innlandet,Container (slow),2040,8661.605167389414
221,(L)Ofoten og Vesterålen,Innlandet,Container (slow),2050,9811.990295860847
222,(L)Ofoten og Vesterålen,Innlandet,Dry bulk,2018,0.91080487548046
223,(L)Ofoten og Vesterålen,Innlandet,Dry bulk,2020,0.925038674900502
224,(L)Ofoten og Vesterålen,Innlandet,Dry bulk,2025,1.05750412786843
225,(L)Ofoten og Vesterålen,Innlandet,Dry bulk,2030,1.2089386214896
226,(L)Ofoten og Vesterålen,Innlandet,Dry bulk,2040,1.29790378923791
227,(L)Ofoten og Vesterålen,Innlandet,Dry bulk,2050,1.38371698249683
228,(L)Ofoten og Vesterålen,Innlandet,Liquid bulk,2018,0.689086967260043
229,(L)Ofoten og Vesterålen,Innlandet,Liquid bulk,2020,0.69678676254779
230,(L)Ofoten og Vesterålen,Innlandet,Liquid bulk,2025,0.613899034297666
231,(L)Ofoten og Vesterålen,Innlandet,Liquid bulk,2030,0.540871389309379
232,(L)Ofoten og Vesterålen,Innlandet,Liquid bulk,2040,0.384367669611622
233,(L)Ofoten og Vesterålen,Innlandet,Liquid bulk,2050,0.293179494071187
234,(L)Ofoten og Vesterålen,Innlandet,Neo bulk,2018,614.0877948464308
235,(L)Ofoten og Vesterålen,Innlandet,Neo bulk,2020,622.6394809677477
236,(L)Ofoten og Vesterålen,Innlandet,Neo bulk,2025,707.3727176997932
237,(L)Ofoten og Vesterålen,Innlandet,Neo bulk,2030,803.9440369295604
238,(L)Ofoten og Vesterålen,Innlandet,Neo bulk,2040,846.4796563253786
239,(L)Ofoten og Vesterålen,Innlandet,Neo bulk,2050,919.1751167698347
240,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (fast),2018,6034.601739836173
241,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (fast),2020,5740.017279302481
242,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (fast),2025,6699.151188835113
243,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (fast),2030,7819.849765043196
244,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (fast),2040,9595.807817183626
245,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (fast),2050,11512.004869604349
246,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (slow),2018,43.949671661220016
247,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (slow),2020,43.77113095572682
248,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (slow),2025,49.941482450343834
249,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (slow),2030,56.99113963662345
250,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (slow),2040,60.560542384273624
251,(L)Ofoten og Vesterålen,Møre og Romsdal,Break bulk (slow),2050,68.41328699579543
252,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (fast),2018,43992.33602931832
253,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (fast),2020,40962.62701351079
254,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (fast),2025,46279.63501660583
255,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (fast),2030,52354.81801023304
256,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (fast),2040,61463.063154736956
257,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (fast),2050,71436.44426468635
258,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (slow),2018,15870.297330309222
