,path,product,time_period,weight,scenario
8699,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Industrial goods,2030,0.17088381242890147,AVG22
8700,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Other thermo,2030,0.0096124269461094,AVG22
8701,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Wet bulk,2030,6.31182514077005,AVG22
8702,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Dry bulk,2040,3.6937119671322303,AVG22
8703,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Fish,2040,10.19152422263234,AVG22
8704,"[('Tromsø', 'Ålesund', 'Sea', 1)]",General cargo,2040,10.017943148761368,AVG22
8705,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Industrial goods,2040,0.18404272276583655,AVG22
8706,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Other thermo,2040,0.011050051274421853,AVG22
8707,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Wet bulk,2040,6.426310980767529,AVG22
8708,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Dry bulk,2050,4.215961762805462,AVG22
8709,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Fish,2050,12.115213147260588,AVG22
8710,"[('Tromsø', 'Ålesund', 'Sea', 1)]",General cargo,2050,11.790420156673807,AVG22
8711,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Industrial goods,2050,0.205192198193793,AVG22
8712,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Other thermo,2050,0.012921029338588344,AVG22
8713,"[('Tromsø', 'Ålesund', 'Sea', 1)]",Wet bulk,2050,6.872629034940858,AVG22
8714,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Fish,2020,0.33453458712992507,AVG22
8715,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Industrial goods,2020,3.4944286315272386,AVG22
8716,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Other thermo,2020,0.31312088889884926,AVG22
8717,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Wet bulk,2020,0.8394556695041175,AVG22
8718,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Dry bulk,2025,5.896230296731829,AVG22
8719,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Fish,2025,0.3928875491270772,AVG22
8720,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Industrial goods,2025,3.966318193609087,AVG22
8721,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Other thermo,2025,0.353561203395909,AVG22
8722,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Wet bulk,2025,0.9353795703678884,AVG22
8723,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Dry bulk,2030,6.692656129652545,AVG22
8724,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Fish,2030,0.46275679868612524,AVG22
8725,"[('Ålesund', 'Tromsø', 'Sea', 1)]",General cargo,2030,5.019060994076467,AVG22
8726,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Industrial goods,2030,4.5074784726599075,AVG22
8727,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Other thermo,2030,0.399525574175726,AVG22
8728,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Wet bulk,2030,1.0450838033734409,AVG22
8729,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Dry bulk,2040,7.178575004558079,AVG22
8730,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Fish,2040,0.6013419547191508,AVG22
8731,"[('Ålesund', 'Tromsø', 'Sea', 1)]",General cargo,2040,5.491169138603728,AVG22
8732,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Industrial goods,2040,4.826590904134089,AVG22
8733,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Other thermo,2040,0.46915851012172777,AVG22
8734,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Wet bulk,2040,1.0787238851176524,AVG22
8735,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Dry bulk,2050,7.648605422569252,AVG22
8736,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Fish,2050,0.6921088364963598,AVG22
8737,"[('Ålesund', 'Tromsø', 'Sea', 1)]",General cargo,2050,6.028668459957731,AVG22
8738,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Industrial goods,2050,5.276959939456681,AVG22
8739,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Other thermo,2050,0.5268692944616591,AVG22
8740,"[('Ålesund', 'Tromsø', 'Sea', 1)]",Wet bulk,2050,1.1510739631814477,AVG22
8741,"[('Stavanger', 'Skien', 'Sea', 1)]",Dry bulk,2030,12.555301263462459,AVG22
8742,"[('Stavanger', 'Skien', 'Sea', 1)]",Dry bulk,2040,54.11324688900449,AVG22
8743,"[('Stavanger', 'Skien', 'Sea', 1)]",Fish,2040,0.693243551729821,AVG22
8744,"[('Stavanger', 'Skien', 'Sea', 1)]",General cargo,2040,22.536681801075403,AVG22
8745,"[('Stavanger', 'Skien', 'Sea', 1)]",Industrial goods,2040,22.326057002064648,AVG22
8746,"[('Stavanger', 'Skien', 'Sea', 1)]",Other thermo,2040,2.1090689608601543,AVG22
8747,"[('Stavanger', 'Skien', 'Sea', 1)]",Wet bulk,2040,41.476666539566,AVG22
8748,"[('Stavanger', 'Skien', 'Sea', 1)]",Dry bulk,2050,61.693106037666425,AVG22
8749,"[('Stavanger', 'Skien', 'Sea', 1)]",Fish,2050,0.8118503033735428,AVG22
8750,"[('Stavanger', 'Skien', 'Sea', 1)]",General cargo,2050,25.85983085149273,AVG22
8751,"[('Stavanger', 'Skien', 'Sea', 1)]",Industrial goods,2050,25.8266974935864,AVG22
8752,"[('Stavanger', 'Skien', 'Sea', 1)]",Other thermo,2050,2.525507190682422,AVG22
8753,"[('Stavanger', 'Skien', 'Sea', 1)]",Wet bulk,2050,29.37682321102983,AVG22
