,paths
69,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Stavanger', 'Rail', 1)]"
70,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Road', 1)]"
71,"[('Oslo', 'Kristiansand', 'Sea', 1)]"
72,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1)]"
73,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Sea', 1)]"
74,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Rail', 1)]"
75,"[('Oslo', 'Skien', 'Sea', 1), ('Skien', 'Kristiansand', 'Road', 1)]"
76,"[('Oslo', 'Skien', 'Sea', 1), ('Skien', 'Kristiansand', 'Rail', 1)]"
77,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Road', 1)]"
78,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Sea', 1)]"
79,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Stavanger', 'Sea', 1), ('Stavanger', 'Kristiansand', 'Road', 1)]"
80,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Stavanger', 'Sea', 1), ('Stavanger', 'Kristiansand', 'Rail', 1)]"
81,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Road', 1)]"
82,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Rail', 1), ('Oslo', 'Kristiansand', 'Sea', 1)]"
83,"[('Oslo', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Kristiansand', 'Sea', 1)]"
84,"[('Oslo', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1)]"
85,"[('Oslo', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Stavanger', 'Sea', 1), ('Stavanger', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Road', 1)]"
86,"[('Oslo', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Kristiansand', 'Sea', 1)]"
87,"[('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Kristiansand', 'Sea', 1)]"
88,"[('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1)]"
89,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Stavanger', 'Sea', 1), ('Stavanger', 'Kristiansand', 'Road', 1)]"
90,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Stavanger', 'Sea', 1), ('Stavanger', 'Kristiansand', 'Rail', 1)]"
91,"[('Oslo', 'Skien', 'Road', 1)]"
92,"[('Oslo', 'Skien', 'Sea', 1)]"
93,"[('Oslo', 'Skien', 'Rail', 1)]"
94,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Road', 1), ('Kristiansand', 'Skien', 'Sea', 1)]"
95,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Rail', 1)]"
96,"[('Oslo', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Skien', 'Road', 1)]"
97,"[('Oslo', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Skien', 'Rail', 1)]"
98,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Skien', 'Road', 1)]"
99,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Skien', 'Sea', 1)]"
100,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Road', 1), ('Kristiansand', 'Oslo', 'Sea', 1), ('Oslo', 'Skien', 'Road', 1)]"
101,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Road', 1), ('Kristiansand', 'Oslo', 'Sea', 1), ('Oslo', 'Skien', 'Rail', 1)]"
102,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Road', 1)]"
103,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Sea', 1)]"
104,"[('Oslo', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Stavanger', 'Road', 1), ('Stavanger', 'Skien', 'Sea', 1)]"
105,"[('Oslo', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Stavanger', 'Sea', 1), ('Stavanger', 'Kristiansand', 'Road', 1), ('Kristiansand', 'Skien', 'Rail', 1)]"
106,"[('Oslo', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Skien', 'Rail', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Road', 1)]"
107,"[('Oslo', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Stavanger', 'Rail', 1), ('Stavanger', 'Skien', 'Sea', 1)]"
108,"[('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Sea', 1)]"
109,"[('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Rail', 1)]"
110,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Oslo', 'Sea', 1), ('Oslo', 'Skien', 'Road', 1)]"
111,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Oslo', 'Sea', 1), ('Oslo', 'Skien', 'Rail', 1)]"
112,"[('Oslo', 'Hamar', 'Road', 1)]"
113,"[('Oslo', 'Hamar', 'Rail', 1)]"
114,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Rail', 1)]"
115,"[('Oslo', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1)]"
116,"[('Oslo', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Rail', 1)]"
117,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1)]"
